,Married,Number_of_Dependents,Tenure_in_Months,Phone_Service,Multipl_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Customer_Status
5548,No,0,45,Yes,No,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,Stayed
5551,Yes,0,64,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,Yes,One Year,No,Credit Card,Stayed
5553,No,0,7,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5555,Yes,0,4,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,Churned
5556,No,0,3,Yes,Yes,Yes,Cable,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,Churned
5557,No,0,1,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5558,No,0,72,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two Year,No,Credit Card,Stayed
5559,Yes,0,43,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,Churned
5560,No,0,1,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5561,Yes,0,68,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,Stayed
5562,Yes,1,38,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,Stayed
5564,No,0,1,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5565,Yes,0,8,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5566,No,0,33,Yes,Yes,Yes,Cable,Yes,No,No,No,No,Yes,One Year,No,Bank Withdrawal,Stayed
5567,Yes,3,57,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
5568,Yes,0,42,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,Churned
5571,No,0,4,Yes,No,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
5572,No,0,62,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,Stayed
5573,No,0,25,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5575,Yes,0,34,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,Churned
5576,No,0,72,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,Stayed
5577,No,0,21,Yes,No,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5578,Yes,2,55,Yes,No,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
5579,Yes,1,42,Yes,Yes,Yes,Cable,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
5580,Yes,0,67,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,Stayed
5582,No,0,26,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Stayed
5583,Yes,0,4,Yes,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
5586,No,0,63,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,Yes,One Year,Yes,Credit Card,Stayed
5587,Yes,0,59,Yes,No,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,One Year,Yes,Credit Card,Stayed
5590,No,0,2,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,Churned
5591,No,0,69,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,Stayed
5592,No,0,5,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5593,No,2,66,Yes,No,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed
5594,Yes,0,6,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,Churned
5595,Yes,3,28,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,Stayed
5596,Yes,1,57,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,Stayed
5597,No,0,22,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5599,Yes,3,65,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,Stayed
5600,No,0,2,Yes,No,Yes,Cable,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5601,No,0,42,Yes,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed
5603,Yes,0,26,Yes,Yes,Yes,Cable,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5606,Yes,0,10,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5607,No,0,4,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5608,No,0,66,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,Churned
5609,Yes,3,2,Yes,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,Churned
5612,No,0,72,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,Stayed
5613,No,0,8,Yes,No,Yes,DSL,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,Stayed
5614,No,0,19,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
5618,Yes,2,38,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,Two Year,Yes,Bank Withdrawal,Stayed
5619,Yes,3,67,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,Stayed
5620,No,0,22,Yes,No,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,Stayed
5621,Yes,0,57,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
5622,Yes,3,72,Yes,No,Yes,Cable,Yes,Yes,No,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,Stayed
5623,Yes,0,70,Yes,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One Year,No,Bank Withdrawal,Stayed
5624,No,0,1,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5625,No,0,13,Yes,No,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
5626,Yes,3,62,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,Stayed
5627,No,0,5,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5628,No,0,5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Churned
5629,No,0,31,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
5630,No,0,18,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Stayed
5631,No,0,64,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,Stayed
5632,No,0,42,Yes,Yes,Yes,Cable,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
5633,No,0,30,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,Stayed
5634,No,0,19,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,Churned
5635,Yes,0,65,Yes,No,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Stayed
5637,No,0,13,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5639,Yes,3,54,Yes,Yes,Yes,Cable,No,Yes,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,Stayed
5641,Yes,0,72,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,Stayed
5644,Yes,0,15,Yes,Yes,Yes,Cable,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5645,No,0,14,Yes,No,Yes,Cable,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Churned
5647,No,0,61,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
5649,No,0,8,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
5650,No,0,14,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Stayed
5652,No,0,35,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,Stayed
5653,Yes,0,66,Yes,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
5654,Yes,0,48,Yes,Yes,Yes,Cable,No,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card,Stayed
5655,Yes,3,48,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
5656,Yes,0,21,Yes,Yes,Yes,Cable,Yes,Yes,Yes,No,No,No,One Year,No,Mailed Check,Churned
5657,Yes,3,67,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,Stayed
5658,Yes,0,7,Yes,No,Yes,DSL,Yes,No,No,No,Yes,Yes,One Year,Yes,Bank Withdrawal,Churned
5659,No,0,17,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,Stayed
5660,Yes,0,40,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,Stayed
5661,No,0,24,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Mailed Check,Churned
5662,Yes,0,69,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card,Stayed
5663,Yes,0,72,Yes,No,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,Stayed
5664,No,0,36,Yes,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One Year,No,Credit Card,Stayed
5669,No,0,1,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5670,Yes,0,72,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two Year,No,Credit Card,Churned
5672,No,0,8,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,Month-to-Month,No,Bank Withdrawal,Stayed
5673,No,0,67,Yes,No,Yes,DSL,No,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,Stayed
5675,Yes,0,70,Yes,No,Yes,DSL,Yes,Yes,No,No,No,Yes,Two Year,No,Credit Card,Stayed
5676,No,0,41,Yes,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,Stayed
5677,Yes,3,59,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed
5679,No,0,3,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5681,No,1,70,Yes,Yes,Yes,Cable,Yes,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,Stayed
5682,No,0,43,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,Stayed
5683,No,0,5,Yes,Yes,Yes,Cable,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,Churned
5684,No,0,1,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5685,Yes,1,72,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Credit Card,Stayed
5687,Yes,3,38,Yes,No,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One Year,No,Bank Withdrawal,Stayed
5688,Yes,0,49,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5690,No,0,15,Yes,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5691,Yes,0,71,Yes,No,Yes,DSL,Yes,Yes,No,No,No,Yes,Two Year,No,Credit Card,Stayed
5692,Yes,0,34,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5693,Yes,0,6,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
5694,Yes,0,51,Yes,Yes,Yes,Cable,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5695,No,0,26,Yes,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
5696,No,0,49,Yes,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Churned
5697,Yes,0,24,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5701,Yes,0,47,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal,Stayed
5702,Yes,0,72,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Credit Card,Stayed
5703,No,0,18,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
5704,Yes,0,51,Yes,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
5705,Yes,0,66,Yes,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Two Year,No,Credit Card,Churned
5706,No,2,46,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
5708,No,0,69,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,Churned
5709,Yes,0,47,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5710,No,3,12,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,Churned
5711,Yes,3,72,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,Stayed
5712,No,0,4,Yes,No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5713,Yes,0,2,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Churned
5714,No,0,1,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5716,Yes,2,69,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
5718,Yes,0,66,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal,Stayed
5719,Yes,2,57,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,Stayed
5722,No,0,60,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,No,One Year,Yes,Bank Withdrawal,Churned
5723,No,3,16,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,One Year,Yes,Credit Card,Stayed
5724,No,0,64,Yes,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Two Year,No,Credit Card,Stayed
5725,Yes,2,71,Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,Stayed
5726,Yes,0,72,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed
5727,No,0,26,Yes,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
5729,No,0,52,Yes,No,Yes,DSL,Yes,No,No,No,No,Yes,One Year,No,Bank Withdrawal,Stayed
5730,No,0,72,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,Stayed
5731,Yes,2,36,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed
5733,No,0,51,Yes,No,Yes,DSL,No,No,No,No,No,Yes,One Year,No,Credit Card,Stayed
5735,No,0,3,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Month-to-Month,No,Credit Card,Churned
5736,No,0,56,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
5737,No,0,16,Yes,No,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Churned
5738,Yes,0,44,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,Stayed
5739,No,0,29,Yes,No,Yes,DSL,Yes,Yes,No,No,No,No,One Year,Yes,Bank Withdrawal,Stayed
5741,No,0,22,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,Churned
5742,Yes,2,29,Yes,Yes,Yes,DSL,Yes,No,Yes,No,No,No,One Year,No,Bank Withdrawal,Stayed
5743,Yes,1,68,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two Year,No,Credit Card,Stayed
5744,Yes,0,34,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
5745,No,0,37,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5746,Yes,0,7,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Churned
5748,No,0,52,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,Stayed
5750,Yes,3,70,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,Stayed
5751,Yes,0,69,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,No,Yes,One Year,No,Credit Card,Stayed
5752,Yes,0,42,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5753,No,0,33,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
5755,No,0,4,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,Stayed
5756,Yes,0,31,Yes,Yes,Yes,Cable,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,Churned
5757,Yes,0,61,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,Stayed
5761,Yes,3,71,Yes,No,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,Stayed
5762,No,0,27,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Stayed
5765,No,0,41,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
5766,Yes,0,26,Yes,No,Yes,Cable,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
5767,Yes,2,10,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
5768,Yes,1,31,Yes,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
5769,Yes,0,10,Yes,No,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Stayed
5770,Yes,0,14,Yes,No,Yes,DSL,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,Stayed
5773,No,0,42,Yes,No,Yes,Cable,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card,Stayed
5774,No,0,25,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5775,No,0,5,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
5776,No,0,1,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5784,Yes,0,51,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5787,Yes,0,28,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,Stayed
5788,Yes,0,71,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal,Stayed
5790,No,0,4,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5791,Yes,0,69,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
5794,Yes,1,71,Yes,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One Year,No,Bank Withdrawal,Stayed
5795,No,0,44,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,Churned
5797,Yes,0,71,Yes,No,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed
5798,Yes,0,63,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,Stayed
5799,No,0,17,Yes,No,Yes,Cable,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,Churned
5801,No,0,9,Yes,No,Yes,Cable,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5802,Yes,0,1,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5803,Yes,0,65,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed
5804,Yes,0,52,Yes,No,Yes,DSL,Yes,No,Yes,No,No,Yes,One Year,Yes,Mailed Check,Stayed
5805,No,0,9,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
5809,No,0,6,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5812,No,0,44,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,Stayed
5813,No,0,60,Yes,No,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,Stayed
5814,No,0,18,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5815,Yes,0,60,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
5817,No,0,59,Yes,No,Yes,DSL,No,No,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,Stayed
5818,No,0,12,Yes,No,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
5819,Yes,0,8,Yes,No,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two Year,No,Credit Card,Stayed
5821,No,1,12,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
5822,Yes,2,30,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
5823,No,0,12,Yes,No,Yes,Cable,No,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,Churned
5824,No,0,3,Yes,No,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-Month,No,Credit Card,Churned
5827,No,0,8,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5828,Yes,0,72,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Churned
5829,Yes,0,72,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
5830,Yes,3,30,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,Stayed
5832,No,0,1,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
5833,No,0,46,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
